"","type","model","value"
"171","Real","model1",0.679012345679012
"172","Real","model1",0.546296296296297
"173","Real","model1",0.61609907120743
"174","Real","model1",0.567901234567901
"175","Real","model1",0.588235294117647
"176","Real","model1",0.541795665634675
"177","Real","model1",0.743506493506494
"178","Real","model1",0.481605351170569
"179","Real","model1",0.484375
"180","Real","model1",0.702341137123746
"181","Real","model1",0.513931888544892
"182","Real","model1",0.582043343653251
"183","Real","model1",0.444805194805195
"184","Real","model1",0.678571428571429
"185","Real","model1",0.653250773993808
"186","Real","model1",0.5375
"187","Real","model1",0.523219814241486
"188","Real","model1",0.553125
"189","Real","model1",0.476780185758514
"190","Real","model1",0.5
"191","Real","model1",0.675925925925926
"192","Real","model1",0.565079365079365
"193","Real","model1",0.559375
"194","Real","model1",0.551948051948052
"195","Real","model1",0.62037037037037
"196","Real","model1",0.523809523809524
"197","Real","model1",0.501547987616099
"198","Real","model1",0.465454545454545
"199","Real","model1",0.69969040247678
"200","Real","model1",0.626623376623377
"201","Real","model1",0.533950617283951
"202","Real","model1",0.596825396825397
"203","Real","model1",0.598765432098766
"204","Real","model1",0.514285714285714
"205","Real","model1",0.512345679012346
"206","Real","model1",0.628482972136223
"207","Real","model1",0.714285714285714
"208","Real","model1",0.575
"209","Real","model1",0.603715170278638
"210","Real","model1",0.556363636363636
"211","Real","model1",0.551083591331269
"212","Real","model1",0.685185185185185
"213","Real","model1",0.591331269349845
"214","Real","model1",0.621875
"215","Real","model1",0.51875
"216","Real","model1",0.421875
"217","Real","model1",0.474916387959866
"218","Real","model1",0.508361204013378
"219","Real","model1",0.561904761904762
"220","Real","model1",0.492063492063492
"221","Real","model1",0.653125
"222","Real","model1",0.60064935064935
"223","Real","model1",0.581939799331104
"224","Real","model1",0.503125
"225","Real","model1",0.592592592592593
"226","Real","model1",0.603125
"227","Real","model1",0.633116883116883
"228","Real","model1",0.557275541795666
"229","Real","model1",0.546875
"230","Real","model1",0.588235294117647
"231","Real","model1",0.606811145510836
"232","Real","model1",0.656346749226006
"233","Real","model1",0.581939799331104
"234","Real","model1",0.607142857142857
"235","Real","model1",0.505016722408027
"236","Real","model1",0.5375
"237","Real","model1",0.487654320987654
"238","Real","model1",0.413194444444444
"239","Real","model1",0.481605351170569
"240","Real","model1",0.619047619047619
"241","Real","model1",0.708978328173375
"242","Real","model1",0.64375
"243","Real","model1",0.600649350649351
"244","Real","model1",0.479876160990712
"245","Real","model1",0.66875
"246","Real","model1",0.604938271604938
"247","Real","model1",0.512727272727273
"248","Real","model1",0.591331269349845
"249","Real","model1",0.553125
"250","Real","model1",0.441358024691358
"251","Real","model1",0.438127090301003
"252","Real","model1",0.459876543209877
"253","Real","model1",0.57716049382716
"254","Real","model1",0.612698412698413
"255","Real","model1",0.472222222222222
"256","Real","model1",0.640866873065015
"257","Real","model1",0.626623376623377
"258","Real","model1",0.606349206349206
"259","Real","model1",0.651234567901235
"260","Real","model1",0.645061728395062
"261","Real","model1",0.626623376623377
"262","Real","model1",0.532467532467533
"263","Real","model1",0.602006688963211
"264","Real","model1",0.6656346749226
"265","Real","model1",0.49375
"266","Real","model1",0.469135802469136
"267","Real","model1",0.633116883116883
"268","Real","model1",0.472222222222222
"269","Real","model1",0.473015873015873
"270","Real","model1",0.541795665634675
"271","Real","model1",0.521875
"272","Real","model1",0.59047619047619
"273","Real","model1",0.6
"274","Real","model1",0.634375
"275","Real","model1",0.565625
"276","Real","model1",0.563467492260062
"277","Real","model1",0.64935064935065
"278","Real","model1",0.611111111111111
"279","Real","model1",0.516233766233766
"280","Real","model1",0.531772575250836
"281","Real","model1",0.507739938080495
"282","Real","model1",0.491638795986622
"283","Real","model1",0.540123456790124
"284","Real","model1",0.5625
"285","Real","model1",0.538699690402477
"286","Real","model1",0.476780185758514
"287","Real","model1",0.473251028806584
"288","Real","model1",0.574603174603175
"289","Real","model1",0.492260061919505
"290","Real","model1",0.625386996904025
"291","Real","model1",0.565625
"292","Real","model1",0.454545454545454
"293","Real","model1",0.631578947368421
"294","Real","model1",0.603715170278638
"295","Real","model1",0.593650793650794
"296","Real","model1",0.646875
"297","Real","model1",0.594427244582043
"298","Real","model1",0.540123456790123
"299","Real","model1",0.546875
"300","Real","model1",0.535603715170279
"301","Real","model1",0.603715170278638
"302","Real","model1",0.509375
"303","Real","model1",0.774305555555556
"304","Real","model1",0.505016722408027
"305","Real","model1",0.412337662337662
"306","Real","model1",0.752380952380952
"307","Real","model1",0.559375
"308","Real","model1",0.549206349206349
"309","Real","model1",0.424148606811145
"310","Real","model1",0.498452012383901
"311","Real","model1",0.623376623376623
"312","Real","model1",0.568181818181818
"313","Real","model1",0.635416666666667
"314","Real","model1",0.501547987616099
"315","Real","model1",0.622291021671827
"316","Real","model1",0.582043343653251
"317","Real","model1",0.55
"318","Real","model1",0.425396825396825
"319","Real","model1",0.588628762541806
"320","Real","model1",0.666666666666667
"321","Real","model1",0.521875
"322","Real","model1",0.4875
"323","Real","model1",0.674922600619195
"324","Real","model1",0.653250773993808
"325","Real","model1",0.5875
"326","Real","model1",0.691358024691358
"327","Real","model1",0.53968253968254
"328","Real","model1",0.602006688963211
"329","Real","model1",0.493055555555556
"330","Real","model1",0.521875
"331","Real","model1",0.6
"332","Real","model1",0.561728395061728
"333","Real","model1",0.503125
"334","Real","model1",0.501587301587302
"335","Real","model1",0.54375
"336","Real","model1",0.6
"337","Real","model1",0.574603174603174
"338","Real","model1",0.577777777777778
"339","Real","model1",0.578125
"340","Real","model1",0.665454545454545
"341","Real","model1",0.609907120743034
"342","Real","model1",0.6375
"343","Real","model1",0.69969040247678
"344","Real","model1",0.496875
"345","Real","model1",0.439628482972136
"346","Real","model1",0.537037037037037
"347","Real","model1",0.645061728395062
"348","Real","model1",0.725308641975309
"349","Real","model1",0.609375
"350","Real","model1",0.529411764705882
"351","Real","model1",0.707792207792208
"352","Real","model1",0.578125
"353","Real","model1",0.641975308641975
"354","Real","model1",0.541666666666667
"355","Real","model1",0.609907120743034
"356","Real","model1",0.509375
"357","Real","model1",0.623456790123457
"358","Real","model1",0.48125
"359","Real","model1",0.634920634920635
"360","Real","model1",0.483766233766234
"361","Real","model1",0.606349206349206
"362","Real","model1",0.534722222222222
"363","Real","model1",0.486068111455108
"364","Real","model1",0.746875
"365","Real","model1",0.588235294117647
"366","Real","model1",0.530864197530864
